question,answer,difficulty,httpsource
"Who is the bearer of the One Ring tasked with destroying it?","Frodo Baggins","unmarked","#"
"Who is the rightful heir to the throne of Gondor?","Aragorn II (son of Arathorn II, crowned as King Elessar Telcontar)","unmarked","#"
"What is the name of Aragorn’s reforged sword?","Andúril (Flame of the West, reforged from Narsil)","unmarked","#"
"Which wizard falls to the Balrog in Moria?","Gandalf the Grey (later resurrected as Gandalf the White)","unmarked","#"
"Who is the ruler of Rohan during the War of the Ring?","Théoden Ednew (son of Thengel)","unmarked","#"
"Which creature calls the One Ring 'my precious'?","Gollum (born Sméagol of the Stoor Hobbits)","unmarked","#"
"Where is the One Ring destroyed?","Mount Doom (Orodruin, in Mordor)","unmarked","#"
"Who is the Dark Lord seeking the One Ring?","Sauron (the Dark Lord of Mordor)","unmarked","#"
"Which elf gives Frodo the Light of Eärendil?","Galadriel (Lady of Lothlórien)","unmarked","#"
"What is the name of the Fellowship’s dwarf member?","Gimli (son of Glóin)","unmarked","#"
"Who is the steward of Gondor during the War of the Ring?","Denethor II (son of Ecthelion II)","unmarked","#"
"What is the name of Samwise Gamgee’s father?","Hamfast 'Ham' Gamgee (the Gaffer)","unmarked","#"
"Who kills the Witch-king of Angmar?","Éowyn (daughter of Éomund) and Meriadoc 'Merry' Brandybuck","unmarked","#"
"What Elvish word opens the Doors of Durin?","*Mellon* (Sindarin for ‘friend’)","unmarked","#"
"Who is Legolas’s father?","Thranduil (King of the Woodland Realm)","unmarked","#"
"What is the name of Gandalf’s horse?","Shadowfax (Lord of Horses)","unmarked","#"
"What is the symbol of Gondor’s kingship?","The White Tree of Gondor (Telperion’s descendant)","unmarked","#"
"Who forged the Three Elven Rings?","Celebrimbor (grandson of Fëanor, of the Noldor)","unmarked","#"
"What is the Elvish name for Shelob's lair?","Torech Ungol (Sindarin: ‘Shelob’s Lair’)","unmarked","#"
"What is the name of Aragorn’s mother?","Gilraen the Fair (of the Dúnedain)","unmarked","#"
"What river flows near Moria’s eastern gate?","Sirannon (later blocked by the Watcher in the Water)","unmarked","#"
"Who is Gimli's father from Thorin’s company?","Glóin (brother of Óin, son of Gróin)","unmarked","#"
"What is the Black Speech on the One Ring?","*Ash nazg durbatulûk…* (‘One Ring to rule them all…’)","unmarked","#"
"Which First Age battle was called the *Unnumbered Tears*?","Nirnaeth Arnoediad","unmarked","#"
"What is Gandalf’s name in Valinor?","Olórin (of the Maiar, servant of Manwë)","unmarked","#"
"What is Aragorn’s royal title after coronation?","King Elessar Telcontar (Reunited Kingdom of Gondor and Arnor)","unmarked","#"
"Which Vala created the Two Trees of Valinor?","Yavanna (Queen of the Earth)","unmarked","#"
"What sword cut the One Ring from Sauron’s hand?","Narsil (forged by Telchar of Nogrod)","unmarked","#"
"Who crafted the Tengwar script?","Fëanor (greatest smith of the Noldor)","unmarked","#"
"What is the Dwarvish name for the Lonely Mountain?","Erebor (Kingdom under the Mountain)","unmarked","#"
"Who originally destroyed the Ring in Tolkien’s drafts?","Gollum (in early manuscripts)","unmarked","#"
"What is the Music of the Ainur called?","Ainulindalë (Creation Myth of Middle-earth)","unmarked","#"
"Which Vala is Morgoth’s enemy and Lord of Waters?","Ulmo (Lord of the Seas)","unmarked","#"
"Who is the oldest living Ent?","Treebeard (Fangorn, Guardian of Fangorn Forest)","unmarked","#" 
"Which Elf survived death twice and fought a Balrog?","Glorfindel (rescued Frodo in *Fellowship*)","unmarked","#"
"Where is the Arkenstone hidden?","Lonely Mountain (treasury of King Thrór)","unmarked","#"
"Who is the Vala of dreams in Valinor?","Irmo (Lord of Lórien, Master of Visions)","unmarked","#"
"Which cursed sword does Túrin Turambar wield?","Gurthang (Iron of Death, reforged from Anglachel)","unmarked","#"
"What is the Quenya name for the Undying Lands?","Aman (Blessed Realm)","unmarked","#"
"Who leads the Great Eagles?","Gwaihir (the Windlord)","unmarked","#"
"Who wore the Silmaril recovered by Beren?","Lúthien Tinúviel (Elven-maiden of Doriath)","unmarked","#"
"What was Minas Tirith’s original name?","Minas Anor (Tower of the Sun)","unmarked","#"
"Who defies Sauron by refusing to reveal the One Ring?","Celebrimbor (Lord of Eregion)","unmarked","#"
"What is Frodo’s Elvish sword called?","Sting (forged in Gondolin)","unmarked","#"
"Who is Morgoth’s lieutenant in the First Age?","Sauron (Gorthaur the Cruel)","unmarked","#"
"Which race tends Fangorn Forest?","Ents (Shepherds of the Trees)","unmarked","#"
"What language is spoken in the Shire?","Westron (Common Speech)","unmarked","#"
"Which named female Dwarf exists in Tolkien’s works?","Dís (sister of Thorin Oakenshield)","unmarked","#"
"Where is Galadriel’s Mirror located?","Caras Galadhon (heart of Lothlórien)","unmarked","#"
"What is Sauron’s fortress called?","Barad-dûr (Dark Tower of Mordor)","unmarked","#"
"Who says ‘Fly, you fools!’ in Moria?","Gandalf the Grey (to the Fellowship)","unmarked","#"
"What is the term for Elven immortality?","*Fëa* (indestructible spirit)","unmarked","#"
"Who first corrupted Elves into Orcs?","Morgoth (Melkor, via torture)","unmarked","#"
"Which stone preserves the light of Eärendil’s star?","Phial of Galadriel (filled with *gilith*)","unmarked","#"
"Who invented the Palantíri?","Fëanor (or the Númenóreans)","unmarked","#"
"Which city is Isildur’s ancestral home?","Númenor (before its fall)","unmarked","#"
"What is Gandalf’s Elvish name?","Mithrandir (‘Grey Pilgrim’)","unmarked","#"
"Who is the mother of Elrond and Elros?","Elwing (of the House of Dior)","unmarked","#"
"Which creature traps the Fellowship in Moria?","Watcher in the Water (Kraken-like being)","unmarked","#"
"What is the name of Bilbo Baggins’ sword?","Sting (forged in Gondolin)","unmarked","#"
"Who is the Elvenking of Mirkwood in *The Hobbit*?","Thranduil (father of Legolas)","unmarked","#"
"What dragon does Bard the Bowman slay?","Smaug the Golden (last Great Dragon)","unmarked","#"
"Who is Arwen’s father?","Elrond Half-elven (Lord of Rivendell)","unmarked","#"
"Which forest is home to Tom Bombadil?","Old Forest (near the Shire)","unmarked","#"
"What beverage do Ents serve Merry and Pippin?","Ent-draught (revitalizing drink)","unmarked","#"
"Which Vala is lord of forests and hunting?","Oromë (the Huntsman of the Valar)","unmarked","#"
"Who is Túrin Turambar’s ill-fated sister?","Niënor Níniel (‘Mourning Maid’)","unmarked","#"
"Who originally possessed the Ring of Thrór?","Thrór (King of Durin’s Folk)","unmarked","#"
"Who crafted the Silmarils?","Fëanor (greatest of the Noldor)","unmarked","#"
"Who is the mother of Fëanor?","Míriel Þerindë (first wife of Finwë)","unmarked","#"
"What is Elrond’s brother’s name?","Elros Tar-Minyatur (first King of Númenor)","unmarked","#"
"Who is Galadriel’s father?","Finarfin (brother of Fëanor and Fingolfin)","unmarked","#"
"Which necklace held the Silmaril in Doriath?","Nauglamír (crafted by Dwarves)","unmarked","#"
"What is the native tongue of Rohan’s people?","Rohirric (related to Old English)","unmarked","#"
