question,answer,difficulty,httpsource
"Who is known as the Boy Who Lived?","Harry Potter","unmarked","#"
"Who is Harry Potter's godfather?","Sirius Black","unmarked","#"
"Who is the headmaster of Hogwarts during most of Harry's time there?","Albus Dumbledore","unmarked","#"
"Which Hogwarts house is renowned for its bravery?","Gryffindor","unmarked","#"
"What is the magical platform number at King's Cross Station for the Hogwarts Express?","9 and 3/4","unmarked","#"
"Who is the Half-Blood Prince?","Severus Snape","unmarked","#"
"What is the full name of the witch who founded the Society for the Promotion of Elfish Welfare (S.P.E.W.)?","Hermione Jean Granger","unmarked","#"
"Which charm did Severus Snape invent that causes deep cuts on the victim's skin?","Sectumsempra","unmarked","#"
"What is the name of Albus Dumbledore’s childhood friend who later becomes an infamous dark wizard?","Gellert Grindelwald","unmarked","#"
"What is the exact address of Sirius Black's family home and the headquarters for the Order of the Phoenix?","12 Grimmauld Place, London","unmarked","#"
"In the Battle of Hogwarts, which Weasley family member was killed?","Fred Weasley","unmarked","#"
"What is the core of the Elder Wand, one of the Deathly Hallows?","Thestral tail hair","unmarked","#"
"Who was the original owner of the Resurrection Stone, according to The Tale of the Three Brothers?","Cadmus Peverell","unmarked","#"
"What is the name of the potion that forces the drinker to tell the truth?","Veritaserum","unmarked","#"
"What did R.A.B. stand for in the note left inside the locket Horcrux?","Regulus Arcturus Black","unmarked","#"
"What is the name of the goblin who helps Harry break into Gringotts in the final book?","Griphook","unmarked","#"
"Who was the Hogwarts Headmaster before Albus Dumbledore?","Armando Dippet","unmarked","#"
"What is the name of the charm that can reveal the last spell cast by a wand?","Priori Incantatem","unmarked","#"
"Who was the first student to be sorted into Gryffindor during Harry’s first year at Hogwarts?","Lavender Brown","unmarked","#"
"Which Hogwarts student was petrified with a camera in his hands during the events of 'The Chamber of Secrets'?","Colin Creevey","unmarked","#"
"What are the names of the three Peverell brothers from 'The Tale of the Three Brothers'?","Antioch Peverell, Cadmus Peverell, and Ignotus Peverell","unmarked","#"
"What is the full name of the witch who was the Headmistress of Hogwarts during the events of 'The Cursed Child'?","Professor Minerva McGonagall","unmarked","#"
"What is the name of the spell used to animate suits of armor and statues in the Battle of Hogwarts?","Piertotum Locomotor","unmarked","#"
"What is the full name of the author of 'A History of Magic'?","Bathilda Bagshot","unmarked","#"
"What is the name of the spell Hermione uses to erase her parents' memories of her?","Obliviate","unmarked","#"
"What is the name of the plant that Neville Longbottom uses to help destroy one of Voldemort’s Horcruxes?","The plant isn’t used to destroy the Horcrux; instead, Neville uses Godric Gryffindor’s sword to destroy Nagini, the last Horcrux.","unmarked","#"
"What is the name of the hidden organization founded by Dumbledore to fight Voldemort during the events of 'The Order of the Phoenix'?","Dumbledore's Army (commonly abbreviated as the DA)","unmarked","#"
"Who was the Defense Against the Dark Arts professor during Harry’s second year at Hogwarts?","Gilderoy Lockhart","unmarked","#"
"What is the spell used to conjure the Dark Mark?","Morsmordre","unmarked","#"
"What is the name of the potion that transforms the drinker into someone else for a short period?","Polyjuice Potion","unmarked","#"
"Who was the first to escape from Azkaban prison?","Sirius Black","unmarked","#"
"What incantation is used to disarm an opponent?","Expelliarmus","unmarked","#"
"What is the name of the house-elf who originally served the Black family?","Kreacher","unmarked","#"
"Which magical creature is known for its ability to detect lies?","A Niffler is known for finding treasure, but a Jobberknoll's feathers are used in truth serums and Memory Potions.","unmarked","#"
"What magical object is used by Dumbledore to store and review memories?","Pensieve","unmarked","#"
"What is the name of the group of students led by Draco Malfoy tasked with enforcing the will of the Inquisitorial Squad?","Inquisitorial Squad","unmarked","#"
"Who was the previous owner of Fawkes, the phoenix?","Albus Dumbledore","unmarked","#"
"What is the name of the spell used to repel Dementors?","Expecto Patronum","unmarked","#"
"What is the name of the potion that allows a wizard to survive underwater?","Gillyweed is used as an ingredient, but the potion itself isn't named; Gillyweed is eaten directly.","unmarked","#"
"Who was the Half-Blood Prince before Severus Snape took the title for himself?","The title 'Half-Blood Prince' was created by Severus Snape himself.","unmarked","#"
"What is the name of the wizarding prison located in the North Sea?","Azkaban","unmarked","#"
"What is the name of the three-headed dog owned by Hagrid?","Fluffy","unmarked","#"
"What is the name of the Weasley family's owl?","Errol","unmarked","#"
"What is the name of the charm that creates a protective shield?","Protego","unmarked","#"
"Which magical plant is known for its restorative properties when brewed in a potion?","Mandrake (used to restore those who have been petrified)","unmarked","#"
"What object did Harry use to destroy Tom Riddle’s diary?","A basilisk fang","unmarked","#"
"What is the name of the bridge that the trio crossed to escape Death Eaters in 'Harry Potter and the Deathly Hallows'?","The Millennium Bridge","unmarked","#"
"What is the name of the Weasley twins' joke shop?","Weasleys' Wizard Wheezes","unmarked","#"
"Who is the ghost of Ravenclaw House?","The Grey Lady (Helena Ravenclaw)","unmarked","#"
"What is the name of the charm used to amplify the caster's voice?","Sonorus","unmarked","#"
"Who was Minister for Magic during the majority of Harry's time at Hogwarts?","Cornelius Fudge","unmarked","#"
"What is the incantation for the spell used to conjure ropes?","Incarcerous","unmarked","#"
"Who is known for their quote, 'I am what I am, an’ I’m not ashamed'?","Rubeus Hagrid","unmarked","#"
"What are the names of Ron Weasley's two best friends?","Harry Potter and Hermione Granger","unmarked","#"
"Who replaced Katie Bell as Chaser on the Gryffindor Quidditch team in her absence?","Dean Thomas","unmarked","#"
"What is the name of the magical object that allows the user to hide or transport items, appearing as an ordinary object?","A Portkey","unmarked","#"
"What is the incantation for the spell used to erase memories?","Obliviate","unmarked","#"
"Which magical creature is known for its ability to explode when angry or threatened?","Erumpent","unmarked","#"
"What is the name of the potion that grants temporary luck to the drinker?","Felix Felicis","unmarked","#"
"Who is the author of 'The Standard Book of Spells' series used at Hogwarts?","Miranda Goshawk","unmarked","#"
"What is the name of Hagrid's giant half-brother?","Grawp","unmarked","#"
"What is the name of the object that Voldemort uses to split and conceal parts of his soul?","Horcrux","unmarked","#"
"Which spell is used to repair broken objects?","Reparo","unmarked","#"
"What is the name of the charm used to conjure water?","Aguamenti","unmarked","#"
"What is the number on the vault that held the Philosopher's Stone in Gringotts?","Vault 713","unmarked","#"
"What unusual form does Seamus Finnigan's Patronus take?","Fox","unmarked","#"
"What is the full name of the witch whose portrait hangs in the Gryffindor common room entrance?","The Fat Lady","unmarked","#"
"What is the name of the broom model that Draco Malfoy receives in his second year?","Nimbus 2001","unmarked","#"
"What does the spell 'Rictusempra' do to its target?","Causes the target to laugh uncontrollably","unmarked","#"
"What is the name of Aragog's wife?","Mosag","unmarked","#"
"What was the name of the goblin who showed Harry to his vault the first time he visited Gringotts?","Griphook","unmarked","#"
"What is the full name of the witch who invented the Wolfsbane Potion?","Damocles Belby","unmarked","#"
"What fruit must you tickle to gain entrance to the Hogwarts kitchens?","A pear","unmarked","#"
"What is the name of the exam taken by Hogwarts students in their seventh year?","N.E.W.T.s (Nastily Exhausting Wizarding Tests)","unmarked","#"
"What was the original name of the Knight Bus conductor before J.K. Rowling changed it to Stan Shunpike?","Dexter Fortescue","unmarked","#"
"What is the full name of Nearly Headless Nick?","Sir Nicholas de Mimsy-Porpington","unmarked","#"
"What is the incantation for the spell used to make invisible ink appear?","Aparecium","unmarked","#"
"What is the name of the room in the Department of Mysteries that contains a tank full of brains?","The Brain Room","unmarked","#"
"What is the name of the magical theory that states that a wizard's power correlates with their mastery over their own emotions?","The Law of Elemental Transfiguration","unmarked","#"
"Which magical creature is used as the core in Fleur Delacour's wand?","Veela hair","unmarked","#"
"What is the name of the plant that screams when uprooted, used in the second year to cure petrified victims?","Mandrake","unmarked","#"
"What is the full name of the wizard who invented the Golden Snitch?","Bowman Wright","unmarked","#"
"What is the name of the Slytherin Quidditch captain during Harry's first year?","Marcus Flint","unmarked","#"
"What is the incantation used to summon an object to the caster?","Accio","unmarked","#"
"What is the name of the dragon that guards the Lestrange vault in Gringotts?","Ukrainian Ironbelly","unmarked","#"
"What is the name of the magical item that gives its owner the ability to speak Parseltongue?","There is no magical item specifically for this; Parseltongue is an inherited ability, but Tom Riddle's diary allowed Harry to understand it.","unmarked","#"
"Which character replaces Cornelius Fudge as Minister for Magic?","Rufus Scrimgeour","unmarked","#"
"What is the name of the book Hermione receives as a Christmas present from her parents in her third year?","The Monster Book of Monsters","unmarked","#"
"What is the name of the witch who is the head of the Department of Magical Law Enforcement before Dolores Umbridge?","Amelia Bones","unmarked","#"
"Who was the first student to be petrified during the reopening of the Chamber of Secrets?","Mrs. Norris (Argus Filch's cat)","unmarked","#"
"What is the name of the spell Hermione uses to free Ron from the brain in the Department of Mysteries?","Relashio","unmarked","#"
"What is the name of the magical device that reveals the location of a person within Hogwarts?","The Marauder's Map","unmarked","#"
"What is the name of the centaur who opposed Firenze's decision to aid Harry Potter?","Bane","unmarked","#"
"What are the names of Severus Snape's parents?","Eileen Prince and Tobias Snape","unmarked","#"
"What is the name of the book that Tom Riddle uses to control Ginny Weasley in the Chamber of Secrets?","Tom Riddle's Diary","unmarked","#"
"What is the name of the tree on the Hogwarts grounds planted to protect Remus Lupin during his transformations?","The Whomping Willow","unmarked","#"
